,District,Const,WParty,WVotes,Age,TurnOut%
0,Taplejung,Taplejung-1,Nepal Communist Party (UML),7434,37.0,73.12
1,Taplejung,Taplejung-2,Nepal Communist Party (UML),7034        ,48.0,72.6
2,Panchthar,Panchthar-1,Nepal Communist Party (UML),13082        ,26.0,72.18
3,Panchthar,Panchthar-2,Nepali Congress,11839,41.0,74.58
4,Illam,Illam-1,Nepal Communist Party (UML),17342,55.0,78.58
5,Illam,Illam-2,Nepal Communist Party (UML),14930        ,50.0,77.55
6,Illam,Illam-3,Nepali Congress,15868        ,41.0,77.99
7,Jhapa,Jhapa-1,Nepal Communist Party (UML),17229,32.0,77.99
8,Jhapa,Jhapa-2,Nepali Congress,13554,30.0,77.79
9,Jhapa,Jhapa-3,Nepali Congress,14355,42.0,78.22
10,Jhapa,Jhapa-4,Nepal Communist Party (UML),22159        ,40.0,78.97
11,Jhapa,Jhapa-5,Nepali Congress,16587        ,53.0,79.49
12,Jhapa,Jhapa-6,Nepal Communist Party (UML),11326        ,40.0,80.04
13,Jhapa,Jhapa-7,Nepal Communist Party (UML),19287        ,60.0,75.99
14,Sankhuwasabha,Sankhuwasabha-1,Nepali Congress,9415        ,55.0,72.03
15,Sankhuwasabha,Sankhuwasabha-2,Nepali Congress,11552,41.0,74.54
16,Terhathum,Terhathum-1,Nepal Communist Party (UML),15111        ,51.0,75.05
17,Bhojpur,Bhojpur-1,Nepal Communist Party (UML),11450        ,31.0,70.49
18,Bhojpur,Bhojpur-2,Nepal Communist Party (UML),11927        ,25.0,72.18
19,Dhankuta,Dhankuta-1,Nepal Communist Party (UML),10953,63.0,75.71
20,Dhankuta,Dhankuta-2,Rastriya Prajatantra Party,10093,35.0,76.13
21,Morang,Morang-1,Nepal Communist Party (UML),14000,33.0,80.76
22,Morang,Morang-2,Nepal Communist Party (UML),14516,27.0,74.73
23,Morang,Morang-3,Nepali Congress,12984,41.0,79.66
24,Morang,Morang-4,Unified Nepal Communist Party (Maoist),9360,51.0,84.73
25,Morang,Morang-5,Nepali Congress,15254,41.0,83.13
26,Morang,Morang-6,Nepali Congress,12552,53.0,78.47
27,Morang,Morang-7,Nepali Congress,12982,36.0,79.81
28,Morang,Morang-8,Nepal Communist Party (UML),17401,47.0,79.85
29,Morang,Morang-9,Nepali Congress,15202,38.0,75.69
30,Sunsari,Sunsari-1,Nepal Communist Party (UML),14384,28.0,71.42
31,Sunsari,Sunsari-2,Nepal Communist Party (UML),18474,60.0,75.98
