,District,Const,WParty,WVotes,Age,TurnOut%
0,Taplejung,Taplejung-1,Nepal Communist Party (UML),15417,46,59.0609164118855
1,Taplejung,Taplejung-1,Nepali Congress,10974,51,62.215124095973074
2,Taplejung,Taplejung-1,Federal Democratic National Front,861,57,54.60580935590036
3,Taplejung,Taplejung-1,Naya Shakti Party Nepal,267,41,52.11641139904592
4,Taplejung,Taplejung-1,Federal Socialist Forum Nepal,158,45,67.28869004828418
5,Taplejung,Taplejung-1,Rastriya Janamukti Party,122,68,64.7599918815044
6,Taplejung,Taplejung-1,Unified Rastriya Prajatantra Party (Nationalist),84,54,51.20189552699388
7,Taplejung,Taplejung-2,Nepal Communist Party (Maoist Center),12198,37,64.27112658029077
8,Taplejung,Taplejung-2,Nepali Congress,7587,56,64.3949915116176
9,Taplejung,Taplejung-2,Federal Democratic National Front,696,35,58.34329825049242
10,Taplejung,Taplejung-2,Jan Samajwadi Party Nepal,361,51,54.36232253945376
11,Taplejung,Taplejung-2,Federal Socialist Forum Nepal,238,37,53.24292397877134
12,Taplejung,Taplejung-2,Rastriya Janamukti Party,222,39,56.87766346760272
13,Taplejung,Taplejung-2,Naya Shakti Party Nepal,106,34,59.19389505672932
14,Taplejung,Taplejung-2,Unified Rastriya Prajatantra Party (Nationalist),83,30,62.42576513885562
15,पाँचथर,पाँचथर-1,Nepal Communist Party (UML),21010,64,58.88815155876812
16,पाँचथर,पाँचथर-1,Nepali Congress,16078,44,59.0261508322012
17,पाँचथर,पाँचथर-1,Federal Democratic National Front,821,40,55.48583380040706
18,पाँचथर,पाँचथर-1,Federal Socialist Forum Nepal,573,56,54.35373794645036
19,पाँचथर,पाँचथर-1,Nepal Communist Party (UML),416,37,55.139540074718205
20,पाँचथर,पाँचथर-1,Unified Rastriya Prajatantra Party (Nationalist),193,78,64.23719394882866
21,पाँचथर,पाँचथर-1,Mongol National Organization,190,39,52.29822571457952
22,पाँचथर,पाँचथर-1,Naya Shakti Party Nepal,127,28,61.26377867709604
23,पाँचथर,पाँचथर-2,Nepal Communist Party (Maoist Center),16908,35,60.419209192571216
24,पाँचथर,पाँचथर-2,Nepali Congress,12117,64,51.719148316488
25,पाँचथर,पाँचथर-2,Federal Socialist Forum Nepal,2040,39,56.89511703635031
26,पाँचथर,पाँचथर-2,Federal Democratic National Front,1157,37,52.25695299601883
27,पाँचथर,पाँचथर-2,Jan Samajwadi Party Nepal,852,27,65.80445069848898
28,पाँचथर,पाँचथर-2,Rastriya Janamukti Party,429,54,55.428111202658826
29,पाँचथर,पाँचथर-2,Naya Shakti Party Nepal,112,40,56.35148880849519
30,पाँचथर,पाँचथर-2,Mongol National Organization,62,39,51.704029971544685
31,इलाम,इलाम-1,Nepal Communist Party (UML),18686,47,54.95703749435245
32,इलाम,इलाम-1,Nepali Congress,9327,57,55.65191855145717
33,इलाम,इलाम-1,Federal Socialist Forum Nepal,1148,42,65.71329550474502
34,इलाम,इलाम-1,Mongol National Organization,1136,42,67.44534711114882
35,इलाम,इलाम-1,Rastriya Prajatantra Party,762,52,58.54518041887953
36,इलाम,इलाम-1,Federal Democratic National Front,376,51,59.31973719909992
37,इलाम,इलाम-1,Naya Shakti Party Nepal,257,36,56.99854779104
38,इलाम,इलाम-2,Nepal Communist Party (UML),17986,56,51.06637482238894
39,इलाम,इलाम-2,Nepali Congress,10021,62,59.13030693262528
40,इलाम,इलाम-2,Federal Socialist Forum Nepal,937,58,64.70258338920944
41,इलाम,इलाम-2,Mongol National Organization,658,28,64.97848867024646
42,इलाम,इलाम-2,Rastriya Prajatantra Party,502,41,51.56018344574127
43,इलाम,इलाम-2,Federal Democratic National Front,252,44,59.77971651319885
44,इलाम,इलाम-2,Naya Shakti Party Nepal,161,29,54.17615944384972
45,इलाम,इलाम-2,Deshbhakta Janaganatantrik Morcha Nepal,125,36,63.23665802606889
46,इलाम,इलाम-1,Nepal Communist Party (UML),19838,55,66.13546668602508
47,इलाम,इलाम-1,Nepali Congress,16286,42,59.08525372658844
48,इलाम,इलाम-1,Federal Socialist Forum Nepal,275,70,61.91183317077626
49,इलाम,इलाम-1,Federal Democratic National Front,264,35,60.73767814519253
50,इलाम,इलाम-1,Mongol National Organization,237,35,66.45792847073797
51,इलाम,इलाम-1,Rastriya Prajatantra Party,136,31,63.14000931736078
52,इलाम,इलाम-1,Rastriya Janamukti Party,104,40,56.79897046421917
53,इलाम,इलाम-2,Nepal Communist Party (Maoist Center),14716,40,64.47813639687459
54,इलाम,इलाम-2,Nepali Congress,11065,56,56.25999365897244
55,इलाम,इलाम-2,Federal Democratic National Front,2254,42,55.64196365855406
56,इलाम,इलाम-2,Rastriya Janamukti Party,1432,37,58.64373586950692
